评论时间,评论者,评论内容,点赞数
2024/04/25 11:27:21,启明真难啊,能看见弹射真不容易[笑哭],62
2024/04/27 00:58:10,陌陌陌陌陌小少i,弹宝活下去就已经很厉害了.jpg,4
2024/04/25 11:50:09,烽火湛蓝,哈哈哈哈,2
2024/04/28 15:35:10,对面派来的卧底,是你[大笑]星七！,0
2024/04/25 14:44:50,老班长与鱼刺,最近刚好是坎公骑冠剑的三周年！在这里祝坎友们三周年快乐！,275
2024/04/26 11:33:13,囿昼于夜,蠢脸守护者的快乐(σ≧∀≦)σ,2
2024/04/26 00:40:29,狸猫七月,[坎公骑冠剑_送花],2
2024/04/26 10:32:05,阔-乐-噻,[坎公骑冠剑_钻石],1
2024/04/26 10:10:03,逐风野狼,MC作为一个3d游戏跟一堆2d放在一起感觉有点违和[笑哭],109
2024/04/26 13:00:22,带你偷电瓶,好歹是沙盒三巨头[doge],13
2024/04/26 11:31:41,速丶影,像素沙盒代表作之一[笑哭],11
2024/04/26 14:15:38,大队长_Captain,但MC是像素游戏，沙盒3D像素游戏,5
2024/04/26 10:22:05,冥王星和它的卡戎,甚至有砰砰军团，他真的，我哭死,12
2024/04/26 22:08:04,南十字星-Crux,像素游戏元气骑士必须有一个位置！（不要提前传，谢谢）[打call],24
2024/04/27 21:49:43,高氯酸拌粉,前传就是纯纯刷子游戏一枚，在心目中个人认为不如正传,2
2024/04/27 22:16:18,闪击凉屋,不要提前传哈哈哈哈哈哈哈虽然确实没有正传好玩,1
2024/04/29 10:49:00,莉可与新叶喵,元神，启动！[打call],0
2024/04/27 00:11:28,謀勇兼備,餐瘾地城也好好玩啊，剧情真的好看，视频没看到真挺惋惜的[笑哭],3
2024/04/27 19:18:10,hou梨屑,看见渎神真不容易[笑哭][笑哭][笑哭],2
2024/04/26 15:06:32,纯昀FAR,永远喜欢StardewValley[打call],21
2024/04/27 10:01:11,天阳之落唯一原创画师,很爱以撒，特别是胎衣+,5
2024/04/27 13:06:44,铁镐Pickaxe,以撒也是肉鸽游戏顶尖了,2
2024/04/29 01:37:05,虫团某Z,坎公！甚至于有铲子骑士我哭了，可惜没看到洞窟物语,2
2024/04/26 19:55:02,我想起名啦随便起个名,像素游戏玩起来和其他游戏感觉有很大的差别，不是不好玩，我就是觉得有那种很特别的感觉，说不出来，,4
2024/04/27 21:46:17,李殊明,元气骑士，泰拉，细胞，mc，以撒，月下我都玩[doge],3
2024/04/28 22:26:17,九雪道祖三九雪,回复@滕小郡郡:一个朋友天知道他从哪里搞来的,0
2024/04/27 22:05:57,滕小郡郡,回复@九雪道祖三九雪:小骨哪里玩到的,0
2024/04/27 21:53:20,九雪道祖三九雪,我除了月下但我玩过小骨,0
2024/04/27 09:11:11,一只潜水的北方天帝,当未来出现新的三消游戏后起之秀，他们会发现前方曾有一座无法企及的高山。,8
2024/04/26 22:55:03,神魂魔帝,鄙人非常喜欢像素类游戏，比如泰拉瑞亚，我的世界，元气骑士，元气骑士前传，坎特伯雷公主与骑士唤醒冠军之剑的奇幻冒险，弹射物语，这些都是我玩过的，其他的我就不知道了,10
2024/04/28 23:26:57,神魂魔帝,？？？,0
2024/04/28 23:12:23,梦金炎,你得玩电脑的，还有很多很好玩的，真的,0
2024/04/28 06:44:30,御寒亚信,出现了，全名怪[保卫萝卜_哇],0
2024/04/27 16:48:46,Rt正方形,"泰拉，mc,星露谷，三位真神[星星眼]",2
2024/04/26 22:06:37,南十字星-Crux,我是“元气骑士元气骑士前传Minecraft战魂铭人泰拉瑞亚我的勇者坎公骑冠剑萌王死亡细胞”玩家，自从接触了Minecraft就是像素游戏的铁粉了，之后在没玩过一次非像素的游戏[脱单doge],9
2024/04/26 22:10:00,南十字星-Crux,忘记加了还有霓虹深渊：无限，不过有一段时间没玩过了,2
2024/04/27 14:44:50,aaaaaaaaabbbc,回复@南十字星-Crux:除了萌王都玩过,0
2024/04/27 11:02:38,KLOPTYU,成分很复杂，但是好像跟我一样,0
2024/04/26 12:25:24,我要玩坎公骑冠剑,这个三连是给坎公的[打call],24
2024/04/26 21:36:47,白金之星镇魂曲12,你给了那我就不给了[脱单doge],2
