排名,UP主,UP主头像,标题,视频链接,封面图,作品分布ip,作品类别,评论数量,播放量,点赞数量,弹幕数量
1,为了玲飞护肤纪录片,https://i1.hdslb.com/bfs/face/73ee41745c1233b16f2137def345e4d49ac98c97.jpg,线下去找骗癌症妈妈救命钱的网红，我被打了。,https://b23.tv/BV1JJ4m1K7YZ,http://i0.hdslb.com/bfs/archive/1ae8fc6830f833a8f1b5deb2c9cc7999838631c1.jpg,广东,日常,7132,4599507,554363,5808
2,崩坏星穹铁道,https://i2.hdslb.com/bfs/face/57b6e8c16b909a49bfc8d8394d946f908cabe728.jpg,《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,https://b23.tv/BV1Am411y7iK,http://i0.hdslb.com/bfs/archive/58f792d55377869a5595f9ec76af06e49d87429d.jpg,上海,手机游戏,10495,2968741,304464,13205
3,ChriSONGS的音乐小巢,https://i0.hdslb.com/bfs/face/1f40782dc971e4557a4fa5f18b8316c8bee6e880.jpg,当你弹琴时遇到了原唱 曲名:Lose Control  歌手:Teddy Swims 钢琴家:Emilio Piano 翻译:音乐小巢,https://b23.tv/BV1tD421K7Fv,http://i2.hdslb.com/bfs/archive/85634c76190a229a571cdb8940eb4403fdf9aff1.jpg,广东,演奏,619,2604894,384021,1361
4,阿蔡美食雕刻,https://i0.hdslb.com/bfs/face/65586a53d1b3da333f68ec1af5f87f396495b282.jpg,四菜一汤教程,https://b23.tv/BV1Lr421J7js,http://i2.hdslb.com/bfs/archive/88891d9e4d0c2cfb633b9d0f361b0138d72cc5bc.jpg,福建,美食制作,3216,5406166,543073,3559
5,小约翰可汗,https://i0.hdslb.com/bfs/face/7bf719c45f6710877b39d08d2ce701c0e43c72ed.jpg,被克格勃策反的理由可以有多离谱？【硬核狠人66】,https://b23.tv/BV18J4m1n7To,http://i1.hdslb.com/bfs/archive/05fed7771d5517d583fe2e7e880d5a1734e933b4.jpg,江苏,人文历史,23952,2666697,206815,6016
6,龙腾虎跃龙兽医,https://i0.hdslb.com/bfs/face/697d80194c5a980fa55b9a200ce8b8ecc41ab39a.jpg,吃亏是福？我爸总吃亏，被上汽大众赞助一台车,https://b23.tv/BV1Q4421f7nn,http://i1.hdslb.com/bfs/archive/87432de0307e780b7e19e07b52748942bec17541.jpg,黑龙江,三农,5029,1574390,302356,3695
7,河南说唱之神official,https://i1.hdslb.com/bfs/face/5647f17db2e16e81d8569751280376a50ba55d51.jpg,[MV]河南说唱之神-工厂,https://b23.tv/BV1yE42157bX,http://i0.hdslb.com/bfs/archive/887967723aa312d3bf6b83cbebb84b60521606f8.jpg,河南,原创音乐,3097,2241112,175721,9386
8,伤心欲茄222,https://i1.hdslb.com/bfs/face/1f0cb64d9b62da7db7e6e020b78b6872dbffe55c.jpg,《太奶の魂环》,https://b23.tv/BV16t421F7Yb,http://i0.hdslb.com/bfs/archive/04a3d1e74096d0b97e821c28f235919b54488fdf.jpg,辽宁,搞笑,1570,2950753,387849,1816
9,小野日记-,https://i0.hdslb.com/bfs/face/bc3376d1185831b31980a6fe75f249b0145cdca5.jpg,历时一年多，我居然真的用草莓上的籽种出了草莓！,https://b23.tv/BV1xw4m1X7EN,http://i2.hdslb.com/bfs/archive/126a64e83288ba3833e0861794e7e3f67fe79289.jpg,湖北,三农,783,3789900,312170,1706
10,七颗猩猩QKXX,https://i1.hdslb.com/bfs/face/e48329f6999d331dcb3cb5ca7ecf2b4b1100d83d.jpg,下集家人们想看王妈还是继续当老师！,https://b23.tv/BV1hz421U79V,http://i1.hdslb.com/bfs/archive/8ee4ac0d8872af55544d0db3d655e906d94e0534.jpg,湖北,搞笑,3012,2670627,281979,4092
